DT_REFE,QT_CORRIDAS,QT_CORR_NEG,QT_CORR_PESS,VL_MAX_DIST,VL_MIN_DIST,VL_AVG_DIST,QT_CORR_REUNI,QT_CORR_NAO_REUNI
2016-01-01,1,1,0,51.0,51.0,51.0,0,1
2016-01-02,2,2,0,48.0,5.0,26.5,0,1
2016-01-05,1,1,0,47.0,47.0,47.0,1,0
2016-01-06,3,3,0,637.0,43.0,250.3,1,2
2016-01-07,1,1,0,8.0,8.0,8.0,1,0
2016-01-10,5,5,0,165.0,62.0,98.6,4,1
2016-01-11,3,3,0,19.0,16.0,17.3,0,3
2016-01-12,6,6,0,151.0,2.0,36.3,1,5
2016-01-13,4,4,0,219.0,39.0,122.0,2,2
2016-01-15,3,3,0,104.0,8.0,72.0,0,3
2016-01-18,2,2,0,48.0,47.0,47.5,0,2
2016-01-19,1,1,0,72.0,72.0,72.0,0,0
2016-01-20,3,3,0,402.0,151.0,241.3,2,1
2016-01-21,3,3,0,24.0,1.0,13.7,0,3
2016-01-26,5,5,0,23.0,2.0,12.6,0,5
2016-01-27,5,5,0,187.0,18.0,79.0,1,4
2016-01-28,3,3,0,157.0,19.0,107.7,2,1
2016-01-29,6,6,0,104.0,46.0,69.3,3,3
2016-01-30,2,2,0,57.0,57.0,57.0,0,2
2016-02-01,3,3,0,233.0,39.0,155.3,0,3
2016-02-02,3,3,0,83.0,6.0,35.0,1,2
2016-02-04,7,7,0,97.0,9.0,39.7,2,5
2016-02-05,2,2,0,104.0,104.0,104.0,2,0
2016-02-06,3,3,0,114.0,9.0,51.7,0,3
2016-02-07,4,4,0,61.0,56.0,58.8,1,3
2016-02-08,2,2,0,43.0,27.0,35.0,0,2
2016-02-09,6,2,4,61.0,3.0,40.7,0,1
2016-02-11,4,4,0,173.0,57.0,106.5,0,4
2016-02-12,6,6,0,115.0,17.0,57.5,2,4
2016-02-13,7,5,2,139.0,2.0,52.7,5,0
2016-02-16,9,9,0,437.0,6.0,81.9,0,4
2016-02-17,4,4,0,214.0,5.0,95.8,0,4
2016-02-18,5,5,0,235.0,6.0,86.0,1,4
2016-02-19,10,6,4,183.0,1.0,69.8,3,1
2016-02-20,8,4,4,231.0,3.0,106.4,1,2
2016-02-21,11,11,0,227.0,13.0,76.9,1,8
2016-02-22,1,1,0,81.0,81.0,81.0,0,1
2016-02-24,2,2,0,17.0,15.0,16.0,0,1
2016-02-25,4,4,0,58.0,6.0,31.8,0,4
2016-02-26,7,3,4,106.0,2.0,49.7,2,0
2016-02-28,2,2,0,77.0,68.0,72.5,2,0
2016-02-29,5,4,1,66.0,21.0,41.4,2,1
2016-03-01,2,2,0,8.0,8.0,8.0,1,1
2016-03-03,5,4,1,173.0,22.0,69.2,1,3
2016-03-04,10,10,0,157.0,2.0,78.1,4,6
2016-03-05,6,4,2,78.0,35.0,56.2,0,4
2016-03-07,5,5,0,124.0,28.0,84.8,1,4
2016-03-08,3,2,1,76.0,16.0,54.7,0,2
2016-03-10,4,4,0,128.0,16.0,62.8,2,0
2016-03-11,5,5,0,21.0,1.0,8.8,0,1
2016-03-12,2,1,1,22.0,19.0,20.5,0,0
2016-03-13,6,6,0,125.0,57.0,84.2,0,5
2016-03-14,2,2,0,27.0,2.0,14.5,0,1
2016-03-15,2,2,0,28.0,2.0,15.0,0,2
2016-03-16,3,3,0,21.0,2.0,13.3,0,2
2016-03-17,7,3,4,302.0,17.0,127.0,1,2
2016-03-18,5,5,0,132.0,1.0,49.4,1,4
2016-03-19,9,9,0,365.0,12.0,113.1,1,7
2016-03-20,5,4,1,104.0,12.0,66.6,2,1
2016-03-21,4,3,1,256.0,1.0,88.5,0,2
2016-03-22,3,1,2,81.0,14.0,39.3,0,1
2016-03-23,2,0,2,17.0,16.0,16.5,0,0
2016-03-24,2,1,1,22.0,2.0,12.0,0,0
2016-03-25,3,3,0,3103.0,144.0,1149.3,1,2
2016-03-26,3,0,3,88.0,12.0,55.7,0,0
2016-03-27,5,3,2,73.0,21.0,58.0,0,3
2016-03-28,3,0,3,272.0,36.0,188.3,0,0
2016-03-29,4,0,4,138.0,6.0,85.5,0,0
2016-03-30,1,1,0,288.0,288.0,288.0,0,1
2016-03-31,2,2,0,164.0,161.0,162.5,0,2
2016-04-01,4,3,1,203.0,7.0,94.0,2,1
2016-04-02,6,4,2,1742.0,51.0,595.0,1,3
2016-04-03,1,1,0,1593.0,1593.0,1593.0,1,0
2016-04-05,1,1,0,79.0,79.0,79.0,0,1
2016-04-06,1,1,0,8.0,8.0,8.0,0,1
2016-04-07,2,2,0,61.0,61.0,61.0,0,2
2016-04-08,5,5,0,191.0,18.0,117.4,3,2
2016-04-12,5,5,0,159.0,28.0,83.2,2,3
2016-04-14,2,2,0,153.0,137.0,145.0,0,2
2016-04-15,3,3,0,152.0,14.0,95.0,1,2
2016-04-16,2,2,0,61.0,6.0,33.5,0,2
2016-04-19,2,2,0,82.0,8.0,45.0,0,2
2016-04-22,4,4,0,225.0,10.0,118.8,4,0
2016-04-23,2,2,0,65.0,6.0,35.5,0,2
2016-04-24,3,3,0,42.0,19.0,30.7,0,3
2016-04-27,2,2,0,49.0,48.0,48.5,0,2
2016-04-28,3,3,0,328.0,55.0,169.0,0,3
2016-04-29,4,4,0,182.0,10.0,108.2,3,1
2016-04-30,2,2,0,77.0,68.0,72.5,0,1
2016-05-01,5,5,0,75.0,21.0,42.4,1,3
2016-05-02,2,2,0,39.0,22.0,30.5,0,2
2016-05-03,1,1,0,25.0,25.0,25.0,0,1
2016-05-04,4,4,0,145.0,5.0,70.5,0,4
2016-05-05,3,3,0,142.0,29.0,100.0,1,2
2016-05-06,3,3,0,144.0,17.0,80.0,2,1
2016-05-09,4,4,0,205.0,84.0,140.8,0,4
2016-05-10,2,2,0,93.0,79.0,86.0,0,2
2016-05-11,2,2,0,256.0,81.0,168.5,2,0
2016-05-14,6,6,0,116.0,31.0,70.0,2,3
2016-05-15,5,4,1,124.0,15.0,55.4,0,4
2016-05-16,5,5,0,145.0,15.0,90.4,0,0
2016-05-17,4,4,0,122.0,19.0,49.0,0,3
2016-05-18,3,3,0,87.0,76.0,82.3,0,2
2016-05-19,3,3,0,59.0,6.0,31.3,0,1
2016-05-20,2,2,0,112.0,82.0,97.0,1,1
2016-05-22,2,2,0,25.0,3.0,14.0,0,2
2016-05-23,2,2,0,36.0,36.0,36.0,0,2
2016-05-27,3,3,0,45.0,12.0,24.7,0,2
2016-05-28,3,3,0,113.0,47.0,73.7,0,3
2016-05-31,3,3,0,149.0,14.0,60.3,2,0
2016-06-01,2,2,0,96.0,67.0,81.5,1,1
2016-06-03,7,7,0,104.0,4.0,42.0,2,5
2016-06-05,6,6,0,99.0,25.0,69.5,2,4
2016-06-06,6,6,0,104.0,3.0,59.8,2,4
2016-06-07,2,2,0,104.0,99.0,101.5,2,0
2016-06-08,8,8,0,223.0,5.0,54.6,0,8
2016-06-10,3,3,0,163.0,99.0,122.0,3,0
2016-06-11,5,5,0,104.0,17.0,60.6,2,2
2016-06-12,3,3,0,43.0,25.0,32.0,0,3
2016-06-13,5,5,0,132.0,39.0,71.6,1,4
2016-06-21,2,2,0,193.0,166.0,179.5,0,1
2016-06-24,7,7,0,128.0,9.0,61.4,0,6
2016-06-25,8,8,0,155.0,11.0,49.2,2,3
2016-06-26,4,4,0,126.0,13.0,52.2,1,0
2016-06-27,11,11,0,469.0,1.0,79.6,0,0
2016-06-28,4,4,0,104.0,82.0,96.0,3,1
2016-06-29,6,6,0,104.0,16.0,64.0,2,0
2016-06-30,1,1,0,99.0,99.0,99.0,1,0
2016-07-01,5,5,0,133.0,99.0,109.8,5,0
2016-07-02,2,2,0,101.0,99.0,100.0,2,0
2016-07-03,3,3,0,99.0,31.0,53.7,1,2
2016-07-04,4,4,0,118.0,87.0,98.0,3,1
2016-07-05,5,5,0,99.0,6.0,60.4,1,2
2016-07-06,5,5,0,99.0,31.0,65.0,1,3
2016-07-07,3,3,0,128.0,79.0,98.7,0,1
2016-07-08,4,4,0,132.0,7.0,85.2,0,0
2016-07-09,3,3,0,85.0,13.0,49.0,0,0
2016-07-10,4,4,0,136.0,13.0,75.2,0,0
2016-07-12,3,1,2,123.0,14.0,74.7,0,0
2016-07-13,3,0,3,235.0,22.0,100.3,0,0
2016-07-14,3,2,1,1953.0,33.0,701.3,0,1
2016-07-15,5,0,5,224.0,32.0,101.2,0,0
2016-07-16,6,1,5,419.0,13.0,172.2,0,1
2016-07-17,2,0,2,1802.0,151.0,976.5,0,2
2016-07-18,9,5,4,72.0,9.0,43.2,1,8
2016-07-19,5,4,1,87.0,3.0,48.2,1,3
2016-07-20,3,0,3,28.0,14.0,18.7,0,0
2016-07-21,4,4,0,37.0,23.0,29.0,0,0
2016-07-22,8,8,0,122.0,8.0,59.8,1,1
2016-07-23,6,6,0,104.0,3.0,61.3,2,0
2016-07-25,4,4,0,79.0,15.0,40.0,0,0
2016-07-26,4,4,0,25.0,21.0,23.2,0,2
2016-07-27,3,3,0,147.0,28.0,107.0,0,0
2016-07-28,1,1,0,23.0,23.0,23.0,0,0
2016-07-29,2,2,0,22.0,22.0,22.0,0,1
2016-07-30,2,2,0,133.0,14.0,73.5,0,0
2016-07-31,1,1,0,18.0,18.0,18.0,0,0
2016-08-01,8,8,0,91.0,13.0,51.1,0,0
2016-08-02,4,4,0,84.0,1.0,33.8,1,0
2016-08-03,3,3,0,15.0,2.0,9.3,0,0
2016-08-05,3,3,0,18.0,13.0,15.3,0,0
2016-08-06,2,2,0,66.0,8.0,37.0,0,0
2016-08-07,4,4,0,27.0,25.0,26.0,0,2
2016-08-08,5,5,0,52.0,4.0,32.6,0,2
2016-08-09,3,3,0,174.0,69.0,130.7,0,0
2016-08-10,4,4,0,153.0,1.0,72.2,0,0
2016-08-11,5,5,0,319.0,22.0,146.0,0,0
2016-08-12,2,2,0,19.0,18.0,18.5,0,0
2016-08-13,1,1,0,84.0,84.0,84.0,1,0
2016-08-15,4,4,0,259.0,141.0,178.2,0,1
2016-08-16,7,7,0,162.0,12.0,64.1,0,1
2016-08-17,8,8,0,121.0,14.0,60.4,0,1
2016-08-18,1,1,0,76.0,76.0,76.0,0,1
2016-08-19,7,7,0,125.0,2.0,55.7,0,0
2016-08-21,5,5,0,202.0,14.0,98.2,0,1
2016-08-22,10,10,0,187.0,15.0,67.9,0,0
2016-08-23,8,8,0,177.0,5.0,70.4,0,0
2016-08-24,2,2,0,962.0,252.0,607.0,0,0
2016-08-25,5,5,0,504.0,35.0,151.8,0,0
2016-08-26,10,10,0,79.0,5.0,41.0,0,0
2016-08-27,5,5,0,1569.0,7.0,509.4,0,0
2016-08-28,4,4,0,121.0,53.0,84.2,0,0
2016-08-29,8,8,0,108.0,4.0,43.2,0,1
2016-08-30,5,5,0,88.0,13.0,43.8,0,0
2016-09-01,3,3,0,106.0,13.0,47.0,0,0
2016-09-02,2,2,0,129.0,92.0,110.5,0,0
2016-09-05,1,1,0,172.0,172.0,172.0,0,0
2016-09-06,1,1,0,691.0,691.0,691.0,0,0
2016-09-10,1,1,0,28.0,28.0,28.0,0,0
2016-09-11,2,2,0,98.0,86.0,92.0,0,0
2016-09-12,3,3,0,115.0,17.0,56.0,0,0
2016-09-13,1,1,0,7.0,7.0,7.0,0,0
2016-09-14,1,1,0,7.0,7.0,7.0,0,0
2016-09-15,1,1,0,9.0,9.0,9.0,0,0
2016-09-16,1,1,0,16.0,16.0,16.0,0,0
2016-09-18,1,1,0,94.0,94.0,94.0,0,0
2016-09-19,5,5,0,183.0,18.0,109.0,0,0
2016-09-20,2,2,0,165.0,96.0,130.5,0,0
2016-09-23,1,1,0,29.0,29.0,29.0,0,0
2016-09-24,2,2,0,82.0,24.0,53.0,0,0
2016-09-27,4,4,0,1956.0,58.0,546.2,0,0
2016-09-28,1,1,0,205.0,205.0,205.0,0,0
2016-09-29,1,1,0,126.0,126.0,126.0,0,0
2016-09-30,2,2,0,377.0,167.0,272.0,0,0
2016-10-03,4,4,0,127.0,16.0,69.0,0,0
2016-10-04,2,2,0,286.0,151.0,218.5,0,0
2016-10-06,4,4,0,1126.0,138.0,406.8,0,0
2016-10-07,7,7,0,332.0,24.0,87.9,0,0
2016-10-08,2,2,0,36.0,8.0,22.0,0,0
2016-10-09,1,1,0,77.0,77.0,77.0,0,1
2016-10-10,2,2,0,95.0,17.0,56.0,0,0
2016-10-11,1,1,0,171.0,171.0,171.0,1,0
2016-10-12,1,1,0,184.0,184.0,184.0,0,0
2016-10-13,5,5,0,109.0,1.0,47.6,0,0
2016-10-14,4,4,0,127.0,17.0,76.5,1,0
2016-10-15,1,1,0,62.0,62.0,62.0,0,0
2016-10-16,7,7,0,105.0,21.0,48.1,2,1
2016-10-17,5,5,0,206.0,33.0,104.8,0,0
2016-10-18,6,6,0,79.0,3.0,27.3,0,1
2016-10-19,7,7,0,108.0,17.0,52.4,0,0
2016-10-20,3,3,0,477.0,31.0,318.0,0,0
2016-10-21,1,1,0,132.0,132.0,132.0,0,0
2016-10-22,3,3,0,172.0,14.0,91.0,0,0
2016-10-23,4,4,0,282.0,31.0,156.2,0,2
2016-10-24,3,3,0,164.0,22.0,113.3,0,0
2016-10-25,6,6,0,112.0,22.0,57.0,0,2
2016-10-26,2,2,0,21.0,21.0,21.0,1,0
2016-10-27,5,5,0,121.0,39.0,73.0,1,0
2016-10-28,5,5,0,1336.0,99.0,512.8,5,0
2016-10-29,2,2,0,757.0,407.0,582.0,1,0
2016-10-30,9,9,0,1959.0,63.0,433.6,0,0
2016-10-31,4,4,0,131.0,32.0,90.5,0,1
2016-11-01,6,6,0,165.0,1.0,64.8,0,1
2016-11-02,5,5,0,85.0,5.0,32.0,1,0
2016-11-03,6,6,0,31.0,14.0,23.8,0,2
2016-11-04,4,4,0,79.0,38.0,49.8,0,1
2016-11-05,3,3,0,28.0,22.0,24.0,0,0
2016-11-06,5,5,0,439.0,18.0,108.4,1,1
2016-11-07,2,2,0,132.0,118.0,125.0,0,2
2016-11-08,4,4,0,122.0,3.0,68.5,1,1
2016-11-09,8,8,0,127.0,7.0,51.4,1,1
2016-11-10,6,6,0,126.0,6.0,43.7,1,2
2016-11-11,6,6,0,459.0,4.0,151.5,0,2
2016-11-12,8,8,0,64.0,6.0,28.0,1,1
2016-11-13,14,14,0,446.0,4.0,79.8,1,3
2016-11-15,3,3,0,118.0,51.0,88.7,0,2
2016-11-16,2,2,0,31.0,23.0,27.0,0,2
2016-11-17,1,1,0,163.0,163.0,163.0,0,1
2016-11-18,3,3,0,61.0,31.0,48.0,1,2
2016-11-19,6,6,0,105.0,15.0,58.2,2,2
2016-11-20,4,4,0,392.0,27.0,167.0,1,3
2016-11-21,5,5,0,67.0,21.0,36.4,0,5
2016-11-22,5,5,0,127.0,3.0,52.2,2,3
2016-11-23,4,4,0,59.0,13.0,31.0,0,1
2016-11-25,2,2,0,111.0,103.0,107.0,2,0
2016-11-26,5,5,0,133.0,9.0,46.4,2,2
2016-11-27,2,2,0,33.0,29.0,31.0,0,1
2016-11-30,3,3,0,85.0,31.0,61.0,0,2
2016-12-01,4,4,0,55.0,29.0,42.0,1,3
2016-12-02,4,4,0,53.0,3.0,35.0,0,4
2016-12-03,3,3,0,66.0,3.0,29.0,0,2
2016-12-04,2,2,0,34.0,29.0,31.5,0,2
2016-12-05,2,2,0,41.0,38.0,39.5,0,1
2016-12-07,4,4,0,69.0,4.0,36.5,2,2
2016-12-08,4,4,0,34.0,2.0,18.0,1,3
2016-12-09,4,4,0,189.0,51.0,96.0,1,3
2016-12-10,4,4,0,156.0,3.0,86.5,1,3
2016-12-11,3,3,0,48.0,3.0,24.0,0,3
2016-12-12,5,5,0,47.0,3.0,25.6,0,5
2016-12-13,2,2,0,42.0,41.0,41.5,0,2
2016-12-14,4,4,0,34.0,3.0,25.2,0,2
2016-12-15,1,1,0,106.0,106.0,106.0,1,0
2016-12-17,2,2,0,53.0,48.0,50.5,0,2
2016-12-18,3,3,0,102.0,49.0,81.0,0,2
2016-12-19,11,11,0,102.0,7.0,45.0,1,5
2016-12-20,8,8,0,194.0,12.0,56.0,1,6
2016-12-21,10,10,0,162.0,2.0,59.2,5,5
2016-12-22,9,9,0,323.0,14.0,103.9,4,5
2016-12-23,5,5,0,96.0,3.0,49.0,3,2
2016-12-24,8,8,0,107.0,6.0,40.9,0,8
2016-12-25,3,3,0,23.0,6.0,17.3,0,3
2016-12-26,5,5,0,79.0,32.0,57.6,1,4
2016-12-27,6,6,0,79.0,5.0,37.5,1,5
2016-12-28,7,7,0,104.0,2.0,61.0,0,7
2016-12-29,13,13,0,129.0,3.0,55.5,2,10
2016-12-30,5,5,0,46.0,8.0,31.4,1,4
2016-12-31,5,5,0,482.0,7.0,150.8,2,3
